EAN,Producto,Link
7798182770042,"Producto Acneiqué. Marca Cepage Descripción: Crema-Gel para pieles con tendencia al acné Seborreguladora Antioxidante. Indicaciones: Acneique es una crema gel seborreguladora e hidratante especialmente formulada para pieles oleosas y/o con tendencia al acné Contiene activos con popiedades antisépticas y antienrrojecimiento Regula el exceso de sebo. Uso: Aplicar Acneiqué Crema gel sobre la piel limpia y seca del rostro, cuello y escote Se recomienda utilizar Acneique Gel limpiador o Acneique H2O agua micelar para complementar el tratamiento Aplicar una o varias veces al día de acuerdo a la necesidad. Beneficios: Su exclusiva fórmula contiene una asociación sinérgica de activos: Ácido salicílico que con su acción queratolítica favorece la renovación celular ALPAFLOR® ALP®-SEBUM, activo natural proveniente de los alpes suizos, que contribuye a seborregular, matificar y suavizar la piel oleosa Es un inhibidor de la 5alfa reductasa, enzima clave en la producción de sebo que inhibe marcadores inflamatorios Disminuye la producción del cutibacterium acnés mejorando el microbioma natural cutáneo La Niacinamida o Vitamina B3, regula el exceso de sebo, reduce el brillo y minimiza la apariencia de los poros Contiene además activos descongestivos que ayudan a reducir rojeces y/o disconfort como la Chamomilla y el Hamamelis Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos no comedogénico clínica y dermatológicamente testeado cruelty free; dermocosmética; piel oleosa; hidratación; acneiqué. Presentación Pomo x 40gr. Dimensiones 40mm x 40mm x 112mm. Peso 58gr.",
7798182770325,"Producto Acneiqué Mat. Marca Cepage Descripción: Crema-Gel matificante para pieles con tendencia al acné Seborreguladora e hidratante. Indicaciones: Acneiqué Mat crema-gel es matificante, seborreguladora e hidratante Cuidado diario ideal para pieles oleosas y/o con tendencia al acné Tiene un efecto mate, anti-brillo, minimiza el tamaño de los poros e hidrata 24hs. Uso: Aplicar Acneiqué Mat sobre la piel limpia y seca Se recomienda utilizar Acneique Gel limpiador o Acneique H2O agua micelar para complementar el tratamiento Aplicar una o varias veces al día de acuerdo a la necesidad. Beneficios: Su exclusiva fórmula contiene Zinc que actúa como antiséptico, extractode Iris como seborregulador y retinol para favorecer la renovación celular Además, tiene una asociación de activos hidratantes; lipomoistTM y ácido hialurónico que garantizan una hidratación duradera Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos no comedogénico clínica y dermatológicamente testeado cruelty free; dermocosmética; piel oleosa; hidratación; acneiqué. Presentación Pomo x 40gr. Dimensiones 40mm x 30mm x 145mm. Peso 60gr.",
7798182770332,"Producto Acneiqué Gel. Marca Cepage Descripción: Gel Limpiador para pieles con tendencia al acné Seborregulador y Purificante. Indicaciones: Acneique Gel es un limpiador suave diario para el rostro Indicado para pieles oleosas y/o con tendencia al acné Elimina las impurezas y el exceso de sebo Deja la piel limpia y fresca con un efecto mate. Uso: Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes Enjuagar con abundante agua No aplicar en los ojos. Beneficios: Contiene Zinc como antiséptico, extracto de iris como seborregulador y retinol para favorecer la renovación celular Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos no comedogénico clínica y dermatológicamente testeado cruelty free; dermocosmética; piel oleosa; acneiqué; limpieza. Presentación Pomo x 200gr. Dimensiones 80mm x 50mm x 185mm. Peso 225gr.",
7798182770851,"Producto Acneiqué H20. Marca Cepage Descripción: Solución Micelar para pieles mixtas a grasas Limpia, desmaquilla y matifica. Indicaciones: Solución micelar limpiadora y desmaquillante de rostro y ojos para pieles oleosas y/o con tendencia al acné Limpia, desmaquilla y seborregula Piel fresca y matificada al instante. Uso: Aplicar con un algodón humedecido sobre todo el rostro Limpie y/o desmaquille la cara y los ojos con suavidad Repetir la aplicación hasta que el algodón salga limpio y secar la cara suavemente sin frotar, con una toalla limpia. Beneficios: Los activos Manitol y Xilitol, son hidratantes y calmantes Contiene Zinc como antiséptico, extracto de Iris como seborregulador y Retinol para favorecer la renovación celular El ácido láctico contribuye en la mejora de la textura de la piel Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de uva. Keywords: oftalmológica y dermatológicamente testeado cruelty free; hipoalergénica sin parabenos no comedogénico clínica; dermocosmética; piel oleosa; acneiqué; limpieza. Presentación Envase x 245ml. Dimensiones 60mm x 55mm x 145mm. Peso 276gr.",
7795345122748,"Producto Probiac comprimidos 30+30. Marca Cepage Descripción: Suplemento dietario a base de Probióticos y Vitaminas. Indicaciones: Coadyuvante en el tratamiento del acné Ayuda a mejorar el acné en todas sus fases. Uso: Tomar comprimido de Vitaminas, Zinc y Cobre (comprimido verde) y comprimido de probióticos al dia (comprimido blanco). Beneficios: Probióticos y Vitaminas que ayudan a modular la inflamacion sistemica que produce el acné y a controlar la hiperqueratinización, hipersecrecion y proliferación del acné. Keywords: libre de gluten (sin tacc; lactosa y azúcar; dermocosmética; piel oleosa; probioticos; acneiqué. Presentación 30+30comprimidos recubiertos.",
7798182771179,"Producto Acneiqué Gel. Marca Cepage Descripción: Gel Limpiador para pieles con tendencia al acné Seborregulador y Purificante. Indicaciones: Acneique Gel es un limpiador suave diario para el rostro Indicado para pieles oleosas y/o con tendencia al acné Elimina las impurezas y el exceso de sebo Deja la piel limpia y fresca con un efecto mate. Uso: Aplicar en el rostro por la mañana y/o noche con la piel húmeda y con suaves masajes Enjuagar con abundante agua No aplicar en los ojos. Beneficios: Contiene Zinc como antiséptico, extracto de iris como seborregulador y retinol para favorecer la renovación celular Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos no comedogénico clínica y dermatológicamente testeado cruelty free; dermocosmética; piel oleosa; acneiqué; limpieza. Presentación Botella x 450gr.",
7798182770950,"Producto Acneiqué Exfoliant. Marca Cepage Descripción: Gel exfoliante 2en para pieles con tendencia al acné. Indicaciones: Acneiqué Exfoliant es un gel renovador 2en  Gracias a sus microparticulas, elimina células muertas, impurezas y el exceso de sebo. Uso: Aplicar una a tres veces por semana sobre la piel húmeda del rostro con suaves masajes circulares Reforzar en mentón, nariz y frente Evitar contorno de ojos Enjuagar con abundante agua. Beneficios: Acneique Exfoliant 2en , contiene Novascrub™ Arroz: micropartículas de arroz impregnadas en una solución de alfa hidroxiácidos derivados del kiwi Es un exfoliante inteligente de acción dos en uno; física y química Es 00% natural y biodegradable y Respeta el PH fisiológico de la piel Además, posee Zinc como antiséptico, extracto de Iris como seborregulador y Retinol para potenciar la renovación celular Pentavitin® garantiza una hidratación instantánea y profunda por 72horas Posee un alto efecto anti oxidante gracias a nuestros exclusivos Polifenoles de uva La piel lucirá piel suave, limpia y fresca con un efecto mate. Keywords: hipoalergénico testeado clínica y dermatológicamente sin parabenos; dermocosmética; piel oleosa; acneiqué; limpieza. Presentación Pomo x 70gr. Dimensiones 35mm x 35mm x 135mm. Peso 80gr.",
,"Producto Acneiqué Sérum. Marca Cepage  . Descripción: Sérum anti-imperfecciones intensivo para pieles oleosas y/o con tendencia al acné. Indicaciones: Acneiqué Sérum anti-imperfecciones intensivo, es un tratamiento para atenuar marcas, poros visibles y puntos blancos y negros Seborregulador, peeling diario y antioxidante Una fórmula que purifica y mejora la textura de la piel e hidrata Indicado para pieles oleosas y como coadyuvante en los tratamientos del acné. Uso: Aplicar sobre la piel limpia y seca del rostro, por la noche Colocar 3a 5gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos Evitar el contacto con mucosas y el contorno de los ojos Para potenciar el efecto, se recomienda complementar con Acneiqué Gel y/o Acneiqué Mat Durante el tratamiento, es necesario el uso de protección solar FPS 50+ de día y evitar la exposición prolongada al sol Comenzar su uso de forma alternada y progresiva. Beneficios: Acneiqué Sérum es un sérum intensivo para pieles oleosas y/o con tendencia al acné Su exclusiva fórmula contiene una asociación sinérgica de activos: Niacinamida 5%, Vitamina B3que mejora la función barrera de la piel, calma y protege, además de contribuir a seborregular y atenuar las manchas Ácido Salicílico ,5% y Ácido Glicólico 35% combinados para una acción queratolítica, que favorece la renovación celular, mejora la textura de la piel y atenúa las imperfecciones características como marcas, poros dilatados y puntos blancos y negros ALPAFLOR® ALP®-SEBUM ,5%, activo natural proveniente de los Alpes Suizos, que contribuye a seborregular, matificar y suavizar la piel oleosa Es un inhibidor de la 5alfa reductasa, enzima clave en la producción de sebo que inhibe marcadores inflamatorios Disminuye la producción del cutibacterium acnés mejorando el microbioma natural cutáneo Se suman a la fórmula Bisabolol, oligoelementos vitales para la piel y nuestros exclusivos polifenoles de UVA con alto efecto antioxidante Su textura es fluida y de rápida absorción. Keywords: hipoalergénico testeado clínica y dermatológicamente; dermocosmética; piel oleosa; exfoliación; acneiqué. Presentación Gotero x 30ml.",
7798182770059,"Producto Clarité. Marca Cepage Descripción: Crema fluída blanqueadora y despigmentante Antioxidante. Indicaciones: Clarité es una crema fluída despigmentante que atenúa manchas y unifica el tono de la piel otorgándole luminosidad Contiene activos hidratantes y antioxidantes Cuidado diario ideal para pieles hiperpigmentadas y coadyuvante de tratamientos médicos. Uso: Aplicar Clarité sobre la piel limpia y seca del rostro, cuello y escote, indistintamente por la mañana y/o noche Se recomienda utilizar el producto diariamente durante 60-90días como mínimo para resultados visibles Complementar con protección solar. Beneficios: Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Chromabright®, activo blanqueador que regula el proceso de pigmentación de la piel mediante la reducción de la actividad de la tirosinasa; una enzima clave que cataliza las dos primeras reacciones de la síntesis de melanina, responsable del color de la piel Unifica visiblemente y de forma segura la piel al tiempo que retrasa el fotoenvejecimiento No fotosensibilizante Apto para usar todo el año Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA combinados con oesferas de Vitamina C y Vitamina E Esta asociación potencia la acción despigmentante de Chromabright® Su textura fluída y de rápida absorción aporta hidratación y luminosidad. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; dermocosmética; pigmentación; clarité; manchas. Presentación Pomo x 30ml. Dimensiones 36mm x 28mm x 135mm. Peso 45gr.",
7798182770806,"Producto Clarité Contorno de Ojos. Marca Cepage Descripción: Crema despigmentante para contorno de ojos Atenúa bolsas y ojeras Antioxidante. Indicaciones: Clarité contorno de ojos es una crema despigmentante que atenúa manchas y unifica el tono de la piel otorgándole luminosidad Reduce visiblemente bolsas y ojeras Cuidado diario ideal para contorno de ojos hiperpigmentados y oscuros. Uso: Aplicar Clarité contorno de ojos sobre la piel limpia y seca con suaves masajes ascendentes sobre el hueso periocular Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche) Se recomienda utilizar el producto diariamente durante 60-90días como mínimo para resultados visibles Complementar con protección solar. Beneficios: Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Chromabright® activo blanqueador que regula el proceso de pigmentación de la piel mediante la inhibición de la tirosinasa, una enzima clave que cataliza las dos primeras reacciones de la síntesis de melanina, responsable del color de la piel Unifica visiblemente y de forma segura la piel al tiempo que retrasa el fotoenvejecimiento No fotosensibilizante Apto para usar todo el año Regu® Age activo que combina péptidos de arroz y soja y SOD (súper oxido dismutasa) Mejora la microcirculación capilar para reducir bolsas y ojeras Protege del estrés oxidativo a la vez que refuerza y protege la matriz de colágeno y elastina de la delicada y delgada piel del contorno de ojos Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; contorno de ojos; dermocosmética; pigmentación; clarité; manchas. Presentación Airless x 5gr. Dimensiones 35mm x 28mm x 115mm. Peso 40gr.",
7798182771261,"Producto Clarité TX Sérum. Marca Cepage Descripción: Sérum despigmentante intensivo Antioxidante y protector celular. Indicaciones: Clarité Sérum despigmentante intensivo, es un tratamiento para ayudar a reducir las manchas y su reaparición Indicado para hiperpigmentaciones de cualquier origen y manchas asociadas al fotoenvejecimiento Promueve una piel radiante y un tono uniforme. Uso: Aplicar sobre la piel limpia y seca del rostro, cuello y escote Colocar 3a 5gotas una vez al día sobre la piel realizando suaves masajes circulares con la yema de los dedos Evitar el contorno de ojos Se recomienda utilizar el producto diariamente durante 60-90días como mínimo Para potenciar el efecto, se recomienda complementar con Clarité crema fluída y/o Renovateurs Durante el tratamiento, es necesario el uso de protección solar FPS 50+ de día y evitar la exposición prolongada al sol. Beneficios: Clarité Sérum es una fórmula específica despigmentante Ideal para manchas cutáneas propias de la edad o bien causadas por factores medioambientales o genéticos Contiene ácido tranexámico al 3%, una molécula de referencia con alta eficacia para despigmentar y optimizar la acción de otros tratamientos para hiperpigmentación, sean dermocosméticos y/o médicos Se potencia con Niacinamida 5% que hidrata, protege la barrera cutánea y unifica el tono Además, posee OTZ 0®ProTaurine que es un poderoso antioxidante y protector celular frente a los daños provocados por especies reactivas de oxígeno (ROS) nitrógeno (RNS) y carbonilo (RCS) provenientes de la incidencia de los rayos UV, la polución, contaminación y luz azul Es un activo inteligente, que luego de captar los radicales libres, se convierte en taurina; un poderoso activo antifatiga Un shock de energía para la piel Contiene, además nuestros exclusivos polifenoles de UVA Con el uso frecuente y correcto Clarité Sérum unifica el tono, reduce las manchas y su reaparición Su textura es fluida y de rápida absorción. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; dermocosmética; pigmentación; clarité; manchas. Presentación Gotero x 30ml.",
7798182770028,"Producto Hydrafirm AR. Marca Cepage Descripción: Sérum hidratante anti-age de día Antioxidante. Indicaciones: Hydrafirm AR sérum de día es un hidratante y preventivo de las arrugas de expresión de textura ultra ligera, cuidado diario ideal para todo tipo de piel. Uso: Aplicar Hydrafirm AR sérum de día sobre la piel limpia y seca del rostro, cuello y escote Se recomienda utilizar combinado con Hydrafirm HA sérum, para potenciar el tratamiento hidratante. Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Argireline®, hexapéptido que previene y suaviza las arrugas y líneas de expresión causadas por la contracción muscular Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA Su textura ligera permite una rápida absorción. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm; anti; edad. Presentación Airless x 30ml. Dimensiones 42mm x 35mm x 130mm. Peso 63gr.",
7798182770011,"Producto Hydrafirm PH. Marca Cepage Descripción: Crema ultra-hidratante anti-age de noche Regula el FHN (Factor Natural de Hidratación) Previene arrugas Antioxidante. Indicaciones: Hydrafirm PH crema de noche es un tratamiento ultrahidratante y preventivo de las arrugas y/o líneas de expresión Cuidado diario de noche ideal para todo tipo de piel. Uso: Aplicar Hydrafirm PH cream de noche sobre la piel limpia y seca del rostro, cuello y escote Se recomienda utilizarlo combinado con Hydrafirm HA serúm, para potenciar el tratamiento hidratante. Beneficios: Su fórmula contiene activos sinérgicos e innovadores Pentavitin®: un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Urea, componente natural de FHN (factor hidratante natural), realiza una suave exfoliación y es hidratante Ácido Hialurónico potencia la acción hidratante Posee además un alto efecto antioxidante gracias a la asociación de vitamina E y Polifenoles de UVA. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm; anti; edad. Presentación Pomo x 50g. Dimensiones 40mm x 40mm x 135mm. Peso 70gr.",
7798182770097,Producto Hydrafirm CO. Marca Cepage Descripción: Crema hidratante y preventiva para contorno de ojos Atenúa bolsas y ojeras Antioxidante. Indicaciones: Hydrafirm CO contorno de ojos es una crema hidratante y preventiva del envejecimiento cutáneo Atenúa bolsas y ojeras Cuidado diario para el contorno de ojos. Uso: Aplicar Hydrafirm CO contorno de ojos sobre la piel limpia y seca del contorno de ojos con suaves masakes ascendentes Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Eyeseryl®: un potente tetrapéptido con propiedades descongestivas Reduce rápidamente la hinchazón y aumenta la elasticidad de la piel alrededor de los ojos Aclara las ojeras Posee además un alto efecto antioxidante gracias a la asociación de Vitamina E y Polifenoles de UVA. Keywords: orfalmológica y dermatológicamente testeado cruelty free; hipoalergénica sin parabenos clínica; piel normal a sensible; contorno de ojos; dermocosmética; hidratación; hydrafirm. Presentación Pomo cánula x 5g. Dimensiones 40mm x 23mm x 125mm. Peso 28gr.,
7798182770103,"Producto Hydrafirm Rougeurs. Marca Cepage Descripción: Cuidado concentrado para pieles sensibles y/o rojeces localizadas. Indicaciones: Hydrafirm Rougeurs cuidado concentrado contribuye a calmar el discomfort de pieles sensibles y/o reactivas Atenúa rojeces transitorias y/o permanentes y previene su aparición. Uso: Aplicar Hydrafirm Rougeurs sobre la piel limpia y seca del rostro, con especial atención en zonas con rojeces Se recomienda el uso de protección solar durante el día. Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Oligovita™ aporta oligoelementos de origen vegetal; cuida y revitaliza piele apagadas y cansadas Se suman Chamomilla, Castaño de Indias, Hamamelis, Árnica y Regaliz que aportan alivio y calma Reduce las sensaciones de irritación y rubor Atenúa rojeces transitorias y/o permanentes y previene su aparición Contiene Polifenoles de UVA como antioxidante Además, posee un ligero color verde, que ayuda a neutralizar ópticamente las rojeces. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm. Presentación Pomo cánula x 30g. Dimensiones 40mm x 30mm x 145mm. Peso 48gr.",
