TIPO,CATEGORÍA,SUBCATEGORÍA (Español),FAMILIA (Español),Nombre del Producto en Inglés (CALIDAD),Nombre del Producto en Español,Descripción MKT,Características,Cod SAP local,EAN ,Merch Code,Tono,Status 2023
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Diamond Top Coat,Capa Protectora de larga duración,"ColorStay Gel Envy™ Diamond Top Coat es nuestra capa protectora de esmalte más resistente. Fabricada con la exclusiva DiamondFlex™ Technology, está diseñada especialmente para usar en conjunto con ColorStay Gel Envy™ Longwear Nail Enamel y así brindar un color de calidad profesional y un brillo como de diamante 5 Free.","Capa protectora
Tecnología Diamondflex™
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor).",7253533000,309970104320,10,Diamond Top Coat,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Up In Charms ,Capa Protectora de larga duración,"Crea color con calidad de salón con mas de 30 tonos vibrantes con nuestro revolucionario sistema de 2 pasos. Cepillo en la base y color en uno, y luego terminar con el protector Envy Gel ColorStay Diamond Top Coat ? para mayor resistencia . Juntos, crean colores vivos , acabado brillante y hermosa vida resistente.","Capa protectora
Tecnología Diamondflex™
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor).",7253531031,309976012315,15,Up in Charms ,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531068,309978418689,462,All Grieged Out,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531062,309976012629,550,All on Red,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531006,309970104375,006,All or Nothing,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531015,309970104368,520,Black Jack,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531002,309970103910,030,Cardshark,Disponible hasta agotar stock
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531017,309970105167,540,CheckMate,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531036,309970104306,615,Get Lucky,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531061,309976012612,610,HeartBreaker,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531033,309970103880,125,Perfect Pair,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531029,309970144562,029,Queen of Hearts,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531026,309970104313,640,Roulette Rush,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531063,309978418634,528,Skinny Dip,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531069,309978418696,470,Stone Cold,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7253531064,309978418641,122,Tippy Toes,Regular
Revlon,Esmalte para UÑAS,Esmalte en Gel,ColorStay, ColorStay Gel Envy Longwear Nail Enamel ,Esmalte para Uñas de larga duración,"Esmalte para uñas en gel de Larga Duración. Su fórmula contiene polímeros que realzan el color. 7 días de color con ingredientes hidratantes: aceite de almendras, manteca de karité, aceite de jojoba & 5 Free.","Esmalte de gel
Color+Base
Larga Duración
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)
Hidratante",7255949067,309978418672,408,What a Gem,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152039,309970179595,003,Passionate,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152034,309971271021,002,Romantique,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152028,309970169541,909,Sheer Petal,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152025,309970169527,680,Revlon Red,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152021,309970169503,731,Ethereal,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152019,309970169497,270,Cherries in the snow,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152018,309970169480,490,Urban,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152015,309970169466,570,Vixen,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152012,309970169459,705,Gray Suede,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152011,309970169442,730,Valentine,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152010,309970169435,680,Raven Red,Disponible hasta agotar stock
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152008,309970169428,620,Bewitching,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152007,309970169411,640,Fearless,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152005,309970169404,006,Sheer Pink,Regular
Revlon,Esmalte para UÑAS,Esmalte para Uñas,Super Lustrous,Revlon Nail Enamel,Esmalte para Uñas,"Esmalte para uñas que contiene proteínas de seda y tecnología Shade Lock, lo que preserva el color del esmalte. 5 free.","Tecnologia Shade Lock
Con proteinas de seda
5 Free (Tolueno, Formaldehido, DBP, Resina de Formaldehido, Alcanfor)",7256152001,309970169381,731,Knockout,Regular
Revlon,Esmalte para UÑAS,Tratamiento para Uñas,Revlon,Revlon Extra Life No Chip Top Coat,Capa Protectora anti saltado de alto brillo,Capa protectora anti saltado de alto brillo que extiende la duración de la manicuría hasta 2 días más,"Capa protectora
Anti-saltado
Extiende el esmaltado 2 dias más",7225054000,309977735008,215,Extra Life Top Coat,Regular
Revlon,Esmalte para UÑAS,Tratamiento para Uñas,Revlon,Revlon MultiCare Base + Top Coat,Base y Capa Protectora Multicuidados,Base y Capa protectora multicuidados. Efecto endurecedor + brillo y duración,"Base y Capa ptorectora
Efecto endurecedor
Da brillo y duración",7225057000,309977741009,205,Multicare Base + Top Coat,Regular
Revlon,Esmalte para UÑAS,Tratamiento para Uñas,Revlon,Revlon Quick Dry Base Coat,Base para Uñas de Secado Rápido,Base para uñas de secado rápido que ayuda a fijar el color.  Ayuda a una aplicación uniforme del color y ayuda a evitar el astillado y saltado,"Base de uñas 
Secado rápido
Aplicación uniforme del colro
Evita astillado y saltado",7225058000,309977755006,225,Quick Dry Base Coat,Regular
Revlon,Esmalte para UÑAS,Tratamiento para Uñas,Revlon,Revlon Quick Dry Top Coat,Líquido de Secado Rápido,Líquido de secado rápido en 30 segundos que también actúa como capa protectora y evita el desgaste del color.,"Secado en 30 segundos
Capa protectora 
Evita el desgaste del color",7225055000,309977737002,210,Quick Dry Top Coat,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Via Lactea,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625002,7790416016285,002,Vía Lactea,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Calcio Blanco,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625003,7790416016292,003,Calcio Blanco,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Blanco French Manicure,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625006,7790416016308,006,Blanco French Manicure,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Calcio Rosa,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625001,7790416016315,001,Calcio Rosa,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Siena,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625044,7790416016322,044,Siena,Regular
Cutex,Esmalte para UÑAS,Esmalte para Uñas,Cutex,Cutex Esmalte de Uñas,Cutex Esmalte de Uñas Rosa Incógnito,"•	Fórmula Hipoalergénica.
•	Nuevos tonos disponibles 
•	Pincel Plano para una mayor cobertura en la uña. Súper práctico y fácil de usar, permite una aplicación perfecta, sin dejar rastros y en una sola pasada.
•	AHORA 16 FREE
•	Libre de crueldad animal 
•	Fórmula 100% vegana.
•	Libre de Formaldehído, Resina de Formaldehído, Tolueno, Xileno, Acetona, Ftalatos, Alcanfor, Parabenos, Ingredientes de origen animal, Sulfatos, Fosfato de Trifenilo y Bisfenol A.","•	Envase de 6ml.
•	Variedad de tonos disponibles.
•	Brinda color y protección en la uña.
",7268625045,7790416016339,045,Rosa incógnito,Regular
